sites,study_id,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,link
6,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Montane rainforest,moist_montane_forest,1950,20,10.145548,-84.091737,3/1/1968,6/1/1968,Orians_1969 _ 6
1,Pearson_1971,1971,"Pearson, D. L. (1971). Vertical stratification of birds in a tropical dry forest. The Condor, 73(1), 46-55.",NA,2,3,2,"Abundance (continuous density plot), Richness - 5 categories of height",Human observation,Birds,Americas,Peru,Unlogged,Dry,Tropical dry forest,dry_forest,175,40,-8.607881,-74.581123,6/12/1968,8/22/1968,Pearson_1971 _ 1
4,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Indonesia,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,40,50,0.4,117.266667,7/25/1974,9/4/1974,Pearson_1977 _ 4
5,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,2,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,45,45,-3.916667,143.033333,9/30/1974,11/3/1974,Pearson_1977 _ 5
1,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,5,4,Abundance - 7 categories of height,Human observation,Birds,Americas,Ecuador,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,300,40,-0.4,-76.633333,7/19/1971,4/19/1972,Pearson_1977 _ 1
2,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,4,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Peru,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,150,40,-8.283333,-74.616667,6/2/1972,9/5/1972,Pearson_1977 _ 2
3,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Bolivia,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,176,40,-11.133333,-66.166667,9/14/1972,11/15/1972,Pearson_1977 _ 3
6,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Africa,Gabon,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,500,40,-0.066667,12.133333,9/28/1976,11/14/1976,Pearson_1977 _ 6
1,Pech-Canche_2011,2011,"Pech-Canche, J. M., Estrella, E., López-Castillo, D. L., Hernández-Betancourt, S. F., & Moreno, C. E. (2011). Complementarity and efficiency of bat capture methods in a lowland tropical dry forest of Yucatán, Mexico. Revista Mexicana de Biodiversidad, 82(3), 896-903.",NA,2,3,4,"Abundance, Richness - 2 categories of height",Mist nets,Bats,Americas,Mexico,Unlogged,Sampling combined,Tropical dry forest,dry_forest,100,15,21.092222,-89.5975,11/1/2005,10/1/2006,Pech-Canche_2011 _ 1
1,Pereira_2010,2010,"Pereira, M. J. R., Marques, J. T., & Palmeirim, J. M. (2010). Vertical stratification of bat assemblages in flooded and unflooded Amazonian forests. Current Zoology, 56(4), 469-478.",10.1093/czoolo/56.4.469,5,3,4,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,44,35,-2.40407,-64.680292,4/1/2007,12/1/2007,Pereira_2010 _ 1
1,Peters_2006,2006,"Peters, S. L., Malcolm, J. R., & Zimmerman, B. L. (2006). Effects of selective logging on bat communities in the southeastern Amazon. Conservation Biology, 20(5), 1410-1421.",10.1111/j.1523-1739.2006.00526.x,2,2,2,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,300,30,-7.683333,-51.866667,9/1/2002,12/1/2002,Peters_2006 _ 1
1,Rader_2006,2006,"Rader, R., & Krockenberger, A. (2006). Does resource availability govern vertical stratification of small mammals in an Australian lowland tropical rainforest?. Wildlife Research, 33(7), 571-576.",10.1071/WR04108,1,2,4,"Abundance, Richness - 4 categories of height",Traps,Small mammals,Asia and Oceania,Australia,Unlogged,Sampling combined,Tropical rainforest,moist_lowland_forest,400,35,-16.095527,145.425929,5/1/2002,4/1/2003,Rader_2006 _ 1
1,Rajaonarivelo_2020,2020,"Rajaonarivelo, J. A., Andrianarisima, A., Raherilalao, M. J., & Goodman, S. (2020). Vertical distribution and daily patterns of birds in the dry deciduous forests of central western Madagascar. Tropical Zoology, 33(1).",10.4081/tz.2020.66,3,3,3,"Richness, abundance - 9 categories of height",Human observation,Birds,Africa,Madagascar,Unlogged,Wet,Dry deciduous,dry_forest,30,20,-20.083333,44.533333,1/25/2018,2/17/2018,Rajaonarivelo_2020 _ 1
1,Rodríguez_2009,2009,"Rodríguez, M. H. O. (2009). Análisis de la estratificación vertical del ensamblaje de murciélagos de un fragmento de bosque seco tropical (Córdoba, Colombia), a partir de la heterogeneidad del hábitat y la ecomorofología alar. Trabajo de Grado. Bogotá: Facultad de Ciencias, Pontificia Universidad Javeriana.",NA,3,2,1,"Abundance (table 2), Richness (estimated Table 6) - 2 categories of height",Mist nets,Bats,Americas,Colombia,Unlogged,Wet,Dry forest,dry_forest,75,15,8.181667,-75.55,9/1/2009,10/1/2009,Rodríguez_2009 _ 1
1,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,moist_montane_forest,1000,20,14.042436,121.524332,5/1/2011,10/1/2011,Scheffers_2013 _ 1
2,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,moist_montane_forest,1400,20,14.052623,121.51217,5/1/2011,10/1/2011,Scheffers_2013 _ 2
3,Scheffers_2013,2013,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Pine forest,moist_montane_forest,1800,20,14.056614,121.50037,5/1/2011,10/1/2011,Scheffers_2013 _ 3
1,Silva_2020b,2020,"Silva, R. C., Silveira, M., & Verde, R. S. (2020). Vertical stratification of phyllostomid bats assemblage (Chiroptera, Phyllostomidae) in a forest fragment in Brazilian Southwestern Amazon. Neotropical Biology and Conservation, 15, 107.",10.3897/neotropical.15.e47641,3,3,3,"Richness (not estimated), Abundance (needs conversion by effort) - 2 categories of height",Mist nets,Bats,Americas,Brazil,Fragment,Sampling combined,Lowland rainforest,moist_lowland_forest,200,30,-10.081389,-67.621944,5/1/2014,1/15/2015,Silva_2020b _ 1
1,Vieira_2003,2003,"Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.",10.1017/S0266467403003559,3,5,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_lowland_forest,200,25,-24.233333,-48.066667,9/1/1995,8/1/1997,Vieira_2003 _ 1
2,Vieira_2003,2003,"Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.",10.1017/S0266467403003559,3,3,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_montane_forest,900,25,-24.283333,-47.35,9/1/1995,8/1/1997,Vieira_2003 _ 2
1,Voss_2001,2001,"Voss, R. S., Lunde, D. P., & Simmons, N. B. (2001). The mammals of Paracou, French Guiana: a neotropical lowland rainforest fauna part 2. Nonvolant species. Bulletin of the American Museum of Natural History, 2001(263), 3-236.",NA,3,3,4,Richness (figures 84-87) -2 categories of height,Traps,Small mammals,Americas,French Guiana,Unlogged (with some degraded forest),Sampling combined,Lowland rainforest,moist_lowland_forest,25,30,5.275278,-52.923611,1991,1992,Voss_2001 _ 1
1,Walther_2002,2002,"Walther, B. A. (2002). Vertical stratification and use of vegetation and light habitats by Neotropical forest birds. Journal für Ornithologie, 143(1), 64-81.",10.1046/j.1439-0361.2002.01007.x,2,4,4,Richness - continuous gradient (Table 2),Human observation,Birds,Americas,Venezuela,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,110,33,3.166667,-65.666667,5/1/1998,4/1/1999,Walther_2002 _ 1
1,Wells_2004,2004,"Wells, K., Pfeiffer, M., Lakim, M. B., & Linsenmair, K. E. (2004). Use of arboreal and terrestrial space by a small mammal community in a tropical rain forest in Borneo, Malaysia. Journal of Biogeography, 31(4), 641-652.",NA,2,5,4,"Richness, abundance - 2 categories of height",Traps,Small mammals,Asia and Oceania,Malaysia,Unlogged,Dry,Rainforest,moist_montane_forest,850,30,6.122515,116.520789,3/1/2001,9/1/2001,Wells_2004 _ 1
1,Frith_1984,1984,"Frith, D. W. (1984). Foraging ecology of birds in an upland tropical rainforest in north Queensland. Wildlife Research, 11(2), 325-347.",NA,2,5,4,"Richness, abundance - 6 categories of height",Human observation,Birds,Asia and Oceania,Australia,Unlogged,Sampling combined,Upland rainforest,moist_montane_forest,800,35,-19,146.166667,8/1/1978,4/30/1979,Frith_1984 _ 1
1,Thivyanathan_2016,2016,"Thivyanathan, N. (2016). Foraging patterns of birds in resource partitioning in tropical mixed dry deciduous forest, India. Journal of Energy and Natural Resources, 5(2), 16-29.",NA,2,3,5,"Richness, abundance - 13 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Dry deciduous Forest,dry_forest,800,11,11.333333,76.716667,5/1/1999,5/25/2002,Thivyanathan_2016 _ 1
1,McEnnerney_2008,2008,"McEnnerney, M. (2008) Communities’ Diversity and Abundance: The Vertical Stratification of Bats (Chiroptera) in the Peruvian Amazon. PhD Dissertation",NA,4,1,1,"Richness, abundance - 2 categories of height",Mist nets,Bats,Americas,Peru,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,100,35,-4.451389,-71.7525,5/25/2007,6/13/2007,McEnnerney_2008 _ 1
1,Clarke_2005,2005,"Clarke, F. M., Rostant, L. V., & Racey, P. A. (2005). Life after logging: post‐logging recovery of a neotropical bat community. Journal of Applied Ecology, 42(2), 409-420.",10.1111/j.1365-2664.2005.01024.x,4,2,5,Abundance - 2 categories of height,Mist nets,Bats,Americas,Trinidad,Unlogged,Sampling combined,Tropical moist seasonal forest,dry_forest,100,28,10.166667,-61.166667,2000,2002,Clarke_2005 _ 1
1,Hodgkison_2004,2004,"Hodgkison, R., Balding, S. T., Zubaid, A., & Kunz, T. H. (2004). Habitat structure, wing morphology, and the vertical stratification of Malaysian fruit bats (Megachiroptera: Pteropodidae). Journal of Tropical Ecology, 667-673.",DOI: 10.101 7/S02 6646 740400173 7 P,3,3,5,Abundance,Mist nets,Bats,Asia and Oceania,Malaysia,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,100,35,3.716667,102.283333,5/1/1997,10/15/1999,Hodgkison_2004 _ 1
1,Rex_2011,2011,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,2,3,2,Richness,Stable Isotopes,Bats,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,100,35,10.42134,-84.019396,9/1/2004,11/20/2004,Rex_2011 _ 1
2,Rex_2011,2011,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,2,3,2,Richness,Stable Isotopes,Bats,Americas,Costa Rica,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,100,35,10.42134,-84.019396,3/1/2005,5/20/2005,Rex_2011 _ 2
3,Rex_2011,2011,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,2,3,2,Richness,Stable Isotopes,Bats,Americas,Ecuador,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,200,35,-0.643142,-76.153164,9/1/2004,11/20/2004,Rex_2011 _ 3
4,Rex_2011,2011,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,2,3,2,Richness,Stable Isotopes,Bats,Americas,Ecuador,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,200,35,-0.643142,-76.153164,3/1/2005,5/20/2005,Rex_2011 _ 4
1,Prevedello_2008,2008,"Prevedello, J. A., Ferreira, P., Papi, B. S., Loretto, D., & Vieira, M. V. (2008). Uso do espaço vertical por pequenos mamíferos no Parque Nacional Serra dos Órgãos, RJ: um estudo de 10 anos utilizando três métodos de amostragem. Revista Espaço e Geografia, 11(1).",NA,5,3,5,Abundance,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_lowland_forest,650,30,-22.466667,-42.983333,4/1/1997,8/1/2007,Prevedello_2008 _ 1
1,Passamani_1995,1995,"Passamani, M. (1995). Vertical stratification of small mammals in Atlantic Hill forest. Mammalia (Paris), 59(2), 276-279.",NA,2,1,4,Richness,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Atlantic rainforest,moist_montane_forest,775,20,-19.833333,-40.366667,1/1/1991,9/15/1991,Passamani_1995 _ 1
1,Francis_1994,1994,"Francis, C. M. (1994). Vertical stratification of fruit bats (Pteropodidae) in lowland dipterocarp rainforest in Malaysia. Journal of Tropical Ecology, 523-530.",NA,4,2,1,Abundance,Mist nets,Bats,Asia and Oceania,Malaysia,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,100,30,3.716667,102.166667,7/12/1992,9/1/1992,Francis_1994 _ 1
1,Cademartori_2008,2008,"Cademartori, C. V., Marques, R. V., & Pacheco, S. M. (2008). Estratificação vertical no uso do espaço por pequenos mamíferos (Rodentia, Sigmodontinae) em área de Floresta Ombrófila Mista, RS, Brasil. Revista Brasileira de Zoociências, 10(3).",NA,2,3,3,Abundance,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Mixed ombrophilous forest,moist_montane_forest,930,20,-29.383333,-50.383333,8/1/2004,7/1/2005,Cademartori_2008 _ 1
1,Terborgh_1980,1980,"Terborgh, J. (1980). Vertical stratification of a Neotropical forest bird community. Acta XVII Congr. Int. Orn. Berlin, 1978, 1005-1012.",NA,2,3,5,Richness - continuous,Human observation,Birds,Americas,Peru,Unlogged,Sampling combined,Submontane moist forest,moist_montane_forest,700,40,-12.329706,-73.947202,1968,1972,Terborgh_1980 _ 1
1,Karr_1976,1976,"Karr, J. R. (1976). Within‐and between‐habitat avian diversity in African and Neotropical lowland habitats. Ecological Monographs, 46(4), 457-481.",NA,2,2,3,Richness - 4 categories of height,Human observation,Birds,Africa,Liberia,Old regrowth,Wet,Lowland rainforest,moist_lowland_forest,475,30,7.484444,-8.570278,8/1/1971,10/15/1971,Karr_1976 _ 1
1,Gonzalez_2020,2020,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020). Understorey to canopy vertebrate fauna of a lowland evergreen forest in Mt. Makiling Forest Reserve, Philippines. Biodiversity Data Journal, 8.",https://doi.org/10.3897/BDJ.8.e56999,2,1,1,Richness - 3 categories of height,Human observation,Amphibians,Asia and Oceania,Philippines,Old regrowth,Sampling combined,Lowland evergreen rainforest,moist_lowland_forest,350,20,14.137222,121.1925,2016--06-01,3/15/2018,Gonzalez_2020 _ 1
1,Zubaid_1994,1994,"Zubaid, A. (1994). Vertical stratification of pteropodid bats in a Malaysian lowland rainforest. Mammalia (Paris), 58(2), 309-311.",NA,2,2,2,Abundance,Mist nets,Bats,Asia and Oceania,Malaysia,Old regrowth,Wet,Lowland dipterocarp rainforest,moist_lowland_forest,100,20,2.916667,101.75,4/1/1993,6/15/1993,Zubaid_1994 _ 1
1,Ingle_1993,1993,"Ingle, N. R. (1993). Vertical stratification of bats in a Philippine rainforest. Asian International Journal of Life Sciences.",NA,2,3,3,Abundance,Mist nets,Bats,Asia and Oceania,Philippines,Old regrowth,Sampling combined,Lowland dipterocarp rainforest,moist_lowland_forest,350,25,14.15,121.216667,1/1/1989,8/15/1989,Ingle_1993 _ 1
1,Gokula_2007,2007,"Gokula, V., & Vijayan, L. (2007). Foraging strategies of birds in partitioning of food resources in dry deciduous forest of Mudumalai Wildlife Sanctuary, Tamil Nadu, India. Journal of Scientific Transaction in Environment and Technovation, 1(1), 36-42.",NA,2,1,1,"Richness, abundance - 13 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Dry,Dry deciduous Forest,dry_forest,1000,11,11.583333,76.583333,2006,2006,Gokula_2007 _ 1
1,Weber_2011,2011,"de Moraes Weber, M., de Arruda, J. L. S., Azambuja, B. O., Camilotti, V. L., & Cáceres, N. C. (2011). Resources partitioning in a fruit bat community of the southern Atlantic Forest, Brazil. Mammalia, 75(3), 217-225.",10.1515/MAMM.2011.021,3,3,3,Abundance,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined,Seasonal Forest,moist_lowland_forest,350,15,-29.833333,-53.833333,1/1/2005,12/30/2005,Weber_2011 _ 1
1,Zubaid_1997,1997,"Zubaid, A. & Ariffin, K (1997). A comparison of small mammal abundance between a primary and distributed lowland rain forest in Peninsular Malaysia.",NA,2,2,4,"Abundance, richness",Traps,Small mammals,Asia and Oceania,Malaysia,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,100,35,3.716667,102.283333,7/1/1994,11/15/1995,Zubaid_1997 _ 1
1,Maklarin_1998,1998,"Maklarin, B. L. (1998). A small mammal community in the tropical rain forest canopy at Poring Hot Springs, Kinabalu Park. Sabah Parks Nature Journal, 1, 93-105.",NA,2,3,3,"Abundance, richness",Traps,Small mammals,Asia and Oceania,Malaysia,Unlogged,Sampling combined,Evergreen broad-leaf forest,moist_lowland_forest,579,35,6.045043,116.698858,2/1/1994,7/15/1994,Maklarin_1998 _ 1
